order_id,product_id,product_name,category,price,quantity,total_amount,city,province,order_date,customer_id
ORD00001,P006,Jeans,Clothing,59.99,5,299.95,Peshawar,KPK,2023-01-01,CUST7438
ORD00002,P001,Laptop,Electronics,899.99,3,2699.97,Faisalabad,Punjab,2023-05-16,CUST4596
ORD00003,P003,Headphones,Electronics,149.99,5,749.95,Faisalabad,Punjab,2023-02-27,CUST3257
ORD00004,P005,T-Shirt,Clothing,29.99,1,29.99,Lahore,Punjab,2023-10-20,CUST2041
ORD00005,P011,Sofa,Furniture,599.99,5,2999.95,Quetta,Balochistan,2023-06-26,CUST9566
ORD00006,P006,Jeans,Clothing,59.99,2,119.98,Peshawar,KPK,2023-10-31,CUST8679
ORD00007,P001,Laptop,Electronics,899.99,4,3599.96,Rawalpindi,Punjab,2023-11-10,CUST3296
ORD00008,P005,T-Shirt,Clothing,29.99,1,29.99,Faisalabad,Punjab,2023-09-22,CUST2756
ORD00009,P010,Textbook,Books,79.99,1,79.99,Lahore,Punjab,2023-02-19,CUST8972
ORD00010,P015,Yoga Mat,Sports,39.99,4,159.96,Faisalabad,Punjab,2023-08-10,CUST6291
ORD00011,P004,Running Shoes,Footwear,89.99,4,359.96,Islamabad,Federal,2023-01-26,CUST3780
ORD00012,P008,Blender,Appliances,49.99,1,49.99,Multan,Punjab,2023-10-17,CUST6408
ORD00013,P005,T-Shirt,Clothing,29.99,4,119.96,Islamabad,Federal,2023-11-15,CUST8088
ORD00014,P013,Face Cream,Beauty,34.99,2,69.98,Rawalpindi,Punjab,2023-12-17,CUST2084
ORD00015,P006,Jeans,Clothing,59.99,1,59.99,Quetta,Balochistan,2023-03-28,CUST4114
ORD00016,P009,Novel Book,Books,14.99,3,44.97,Rawalpindi,Punjab,2023-07-24,CUST5530
ORD00017,P002,Smartphone,Electronics,699.99,4,2799.96,Lahore,Punjab,2023-01-08,CUST9664
ORD00018,P012,Office Chair,Furniture,249.99,1,249.99,Islamabad,Federal,2023-08-03,CUST9275
ORD00019,P006,Jeans,Clothing,59.99,5,299.95,Islamabad,Federal,2023-09-23,CUST4814
